"sentence","bp_number"
"Triangle plus grand que le cercle vs triangle plus petit que le cercle",38
"Segments approximativement parallèles entre eux vs grands angles entre les segments",39
"Trois points sur une ligne droite vs pas trois points sur une ligne droite",40
"Cercles en contour sur une ligne droite vs cercles en contour pas sur une ligne droite",41
"Points à l'intérieur du contour de la figure sont sur une ligne droite vs points à l'intérieur du contour de la figure ne sont pas sur une ligne droite",42
"L'amplitude de vibration augmente de gauche à droite vs l'amplitude de vibration diminue de gauche à droite",43
"Petits cercles sur différents arcs vs petits cercles sur un arc",44
"Figure en contour au-dessus de la figure noire solide vs figure noire au-dessus de la figure en contour",45
"Triangle au-dessus du cercle vs cercle au-dessus du triangle",46
"Triangle à l'intérieur du cercle vs cercle à l'intérieur du triangle",47
"Figures sombres solides au-dessus des figures en contour vs figures en contour au-dessus des figures sombres solides",48
"Points à l'intérieur du contour de la figure sont groupés plus densément qu'à l'extérieur du contour vs points à l'extérieur du contour de la figure sont groupés plus densément qu'à l'intérieur du contour",49
"Axe vertical de symétrie vs pas d'axe de symétrie",50
"Deux cercles proches l'un de l'autre vs pas deux cercles proches l'un de l'autre",51
"Flèches pointant dans différentes directions vs flèches pointant dans la même direction",52
"La figure intérieure a moins d'angles que la figure extérieure vs la figure intérieure a plus d'angles que la figure extérieure",53
"Une croix, un cercle et un triangle arrangés dans le sens antihoraire vs une croix, un cercle et un triangle arrangés dans le sens horaire",54
"Un cercle est à gauche de la cavité si vous regardez depuis l'intérieur de la figure vs un cercle est à droite de la cavité si vous regardez depuis l'intérieur de la figure",55
"Toutes les figures de la même couleur vs figures de couleurs différentes",56
"Figures identiques vs figures non identiques",57
"Les quadrangles sombres solides sont identiques vs les quadrangles sombres solides sont différents",58
"Les figures sont similaires vs les figures ne sont pas similaires",59
"Quelques figures similaires vs pas de figures similaires",60
"Une ligne sépare les croix en deux vs une ligne ne sépare pas les croix en deux",61
"Les extrémités de la courbe sont éloignées vs les extrémités de la courbe sont proches",62
"Ombrage plus épais du côté droit vs ombrage plus épais du côté gauche",63
"Une croix est située sur l'extension de l'axe de l'ellipse vs un cercle est situé sur l'extension de l'axe de l'ellipse",64
"Un ensemble de triangles allongés horizontalement vs un ensemble de triangles allongés verticalement",65
"Cercles non connectés sur une ligne horizontale vs cercles non connectés sur une ligne verticale",66
"La branche droite commence à un point plus haut que la branche gauche vs la branche droite commence à un point plus bas que la branche gauche",67
"La fin de la branche droite est plus haute que celle de la branche gauche vs la fin de la branche droite est plus basse que celle de la branche gauche",68
"Grand point noir sur la branche principale vs grand point noir sur une branche latérale",69
"Il n'y a pas de branches latérales du second ordre vs il y a des branches latérales du second ordre",70
"Il y a des figures intérieures du second ordre vs il n'y a pas de figures intérieures du second ordre",71
"Les extrémités de la courbe sont parallèles vs les extrémités de la courbe sont perpendiculaires",72
"Les grands axes de l'ellipse et du rectangle sont perpendiculaires vs les grands axes de l'ellipse et du rectangle sont parallèles",73
"Une queue pousse de l'extrémité obtuse vs une queue pousse de l'extrémité aiguë",74
"Triangle situé du côté concave d'un arc vs triangle situé du côté convexe d'un arc",75
"Côtés longs concaves vs côtés longs convexes",76
"Angle divisé en deux vs angle non divisé en deux",77
"Les extensions des segments se croisent en un point vs les extensions des segments ne se croisent pas en un point",78
"Un cercle sombre est plus proche du cercle en contour que du triangle vs un cercle sombre est plus proche du triangle que du cercle en contour",79
"Points situés aux mêmes distances d'une croix vs points situés à différentes distances d'une croix",80
"Les figures sombres peuvent être séparées des figures en contour par une ligne droite vs les enveloppes convexes des figures remplies et en contour se chevauchent",81
"L'enveloppe convexe des croix forme un triangle équilatéral vs l'enveloppe convexe des croix ne forme pas un triangle équilatéral",82
"Un cercle est à l'intérieur d'une figure faite par des croix vs un cercle est à l'extérieur de figures faites par des croix",83
"Un quadrangle est à l'extérieur d'une figure faite par des cercles vs un quadrangle est à l'intérieur d'une figure faite par des cercles",84
"Trois parties vs cinq parties",85
"Trois parties vs cinq parties",86
"Quatre parties vs cinq parties",87
"Trois parties vs cinq parties",88
"Trois parties vs cinq parties",89
"Trois parties vs quatre parties",90
"Trois éléments identiques vs quatre éléments identiques",91
"La chaîne ne se ramifie pas vs la chaîne se ramifie",92
"Branches au cercle en contour vs branches au cercle sombre solide",93
"Cercle sombre solide pas à la fin vs cercle sombre solide à la fin",94
"Lignes hachurées verticales vs lignes hachurées horizontales",95
"Triangles vs quadrangles",96
"Triangles vs cercles",97
"Triangles vs quadrangles",98
"Les contours faits par des triangles et des cercles se croisent vs les contours faits par des triangles et des cercles ne se croisent pas",99
"La lettre A vs la lettre Б",100
"Groß vs klein",2
"Hohler Umriss vs ausgefüllt solid",3
"Konvex vs konkav",4
"Ist Polygon vs ist glatt ohne gerade Linien oder Ecken",5
"Dreieck vs Viereck",6
"Höher als breit vs breiter als hoch",7
"Rechts positioniert vs links positioniert",8
"Nicht-welliger Umriss vs welliger Umriss",9
"Ungefähr dreieckiger Umriss vs ungefähr konvexer viereckiger Umriss",10
"Dünn und langgestreckt vs kompakt",11
"Dünne langgestreckte konvexe Hülle vs kompakte konvexe Hülle",12
"Hohes Rechteck ODER breite Ellipse vs breites Rechteck ODER hohe Ellipse",13
"Alle großen einzelnen Figuren vs alle kleinen einzelnen Figuren",14
"Geschlossener Formumriss vs nicht-geschlossene Kurve",15
"Im Uhrzeigersinn spiralförmige Kurve vs gegen den Uhrzeigersinn spiralförmige Kurve",16
"Form mit einer Reflexecke vs Form ohne Reflexecke",17
"'Eingeklemmte' Form (drastisch dünner irgendwo in der Mitte als an den Enden) vs nicht-eingeklemmte Form",18
"Horizontale Einschnürung vs vertikale Einschnürung",19
"Beide Punkte berühren dieselbe Wölbung vs Punkte auf gegenüberliegenden Wölbungen",20
"Kleine Form vorhanden vs alle Formen groß",21
"Alle Formen ungefähr gleich groß vs Formen unterschiedlicher Größe",22
"Eine vs zwei Figuren",23
"Ein Kreis vs kein Kreis",24
"Schwarze Figur ist ein Dreieck vs schwarze Figur ist ein Kreis",25
"Solides schwarzes Dreieck vs kein solides schwarzes Dreieck",26
"Mehr solide schwarze Figuren vs mehr Umrissfiguren",27
"Mehr solide schwarze Kreise vs mehr Umrisskreise",28
"Es gibt mehr kleine Kreise innerhalb des Figurumrisses als außerhalb vs es gibt weniger kleine Kreise innerhalb des Figurumrisses als außerhalb",29
"Eine Kurve mit einer Selbstkreuzung vs eine Kurve ohne Selbstkreuzung",30
"Eine Linie vs zwei Linien",31
"Eine scharfe Projektion vs keine scharfe Projektion",32
"Spitzer Winkel vs kein spitzer Winkel",33
"Ein großes Loch vs ein kleines Loch",34
"Die Achse des Lochs ist parallel zur Figurachse vs die Achse des Lochs ist senkrecht zur Figurachse",35
"Dreieck über Kreis vs Kreis über Dreieck",36
"Dreieck über Kreis vs Kreis über Dreieck",37
"Dreieck größer als Kreis vs Dreieck kleiner als Kreis",38
"Segmente ungefähr parallel zueinander vs große Winkel zwischen Segmenten",39
"Drei Punkte auf einer geraden Linie vs keine drei Punkte auf einer geraden Linie",40
"Umrisskreise auf einer geraden Linie vs Umrisskreise nicht auf einer geraden Linie",41
"Punkte innerhalb des Figurumrisses sind auf einer geraden Linie vs Punkte innerhalb des Figurumrisses sind nicht auf einer geraden Linie",42
"Die Schwingungsamplitude nimmt von links nach rechts zu vs die Schwingungsamplitude nimmt von links nach rechts ab",43
"Kleine Kreise auf verschiedenen Bögen vs kleine Kreise auf einem Bogen",44
"Umrissfigur oben auf solider schwarzer Figur vs schwarze Figur oben auf Umrissfigur",45
"Dreieck oben auf dem Kreis vs Kreis oben auf dem Dreieck",46
"Dreieck innerhalb des Kreises vs Kreis innerhalb des Dreiecks",47
"Solide dunkle Figuren über den Umrissfiguren vs Umrissfiguren über den soliden dunklen Figuren",48
"Punkte innerhalb des Figurumrisses sind dichter gruppiert als außerhalb der Kontur vs Punkte außerhalb der Figurkontur sind dichter gruppiert als innerhalb der Kontur",49
"Vertikale Symmetrieachse vs keine Symmetrieachse",50
"Zwei Kreise nahe beieinander vs keine zwei Kreise nahe beieinander",51
"Pfeile zeigen in verschiedene Richtungen vs Pfeile zeigen in dieselbe Richtung",52
"Innere Figur hat weniger Winkel als äußere Figur vs innere Figur hat mehr Winkel als äußere Figur",53
"Ein Kreuz, Kreis und Dreieck gegen den Uhrzeigersinn angeordnet vs ein Kreuz, Kreis und Dreieck im Uhrzeigersinn angeordnet",54
"Ein Kreis ist links von der Höhle wenn man von innen der Figur schaut vs ein Kreis ist rechts von der Höhle wenn man von innen der Figur schaut",55
"Alle Figuren derselben Farbe vs Figuren verschiedener Farben",56
"Identische Figuren vs nicht identische Figuren",57
"Solide dunkle Vierecke sind identisch vs solide dunkle Vierecke sind verschieden",58
"Figuren sind ähnlich vs Figuren sind nicht ähnlich",59
"Einige ähnliche Figuren vs keine ähnlichen Figuren",60
"Eine Linie teilt die Kreuze in der Hälfte vs eine Linie teilt die Kreuze nicht in der Hälfte",61
"Enden der Kurve sind weit auseinander vs Enden der Kurve sind nahe zusammen",62
"Schattierung dicker auf der rechten Seite vs Schattierung dicker auf der linken Seite",63
"Ein Kreuz befindet sich auf der Verlängerung der Ellipsenachse vs ein Kreis befindet sich auf der Verlängerung der Ellipsenachse",64
"Eine Menge horizontal verlängerter Dreiecke vs eine Menge vertikal verlängerter Dreiecke",65
"Nicht verbundene Kreise auf einer horizontalen Linie vs nicht verbundene Kreise auf einer vertikalen Linie",66
"Der rechte Ast beginnt an einem höheren Punkt als der linke Ast vs der rechte Ast beginnt an einem niedrigeren Punkt als der linke Ast",67
"Das Ende des rechten Astes ist höher als das des linken Astes vs das Ende des rechten Astes ist niedriger als das des linken Astes",68
"Großer schwarzer Punkt auf dem Hauptast vs großer schwarzer Punkt auf einem Seitenast",69
"Es gibt keine Seitenäste zweiter Ordnung vs es gibt Seitenäste zweiter Ordnung",70
"Es gibt innere Figuren zweiter Ordnung vs es gibt keine inneren Figuren zweiter Ordnung",71
"Enden der Kurve sind parallel vs Enden der Kurve sind senkrecht",72
"Die langen Achsen der Ellipse und des Rechtecks sind senkrecht vs die langen Achsen der Ellipse und des Rechtecks sind parallel",73
"Ein Schwanz wächst vom stumpfen Ende vs ein Schwanz wächst vom spitzen Ende",74
"Dreieck auf der konkaven Seite eines Bogens vs Dreieck auf der konvexen Seite eines Bogens",75
"Lange Seiten konkav vs lange Seiten konvex",76
"Winkel halbiert vs Winkel nicht halbiert",77
"Verlängerungen der Segmente kreuzen sich an einem Punkt vs Verlängerungen der Segmente kreuzen sich nicht an einem Punkt",78
"Ein dunkler Kreis ist näher zum Umrisskreis als zum Dreieck vs ein dunkler Kreis ist näher zum Dreieck als zum Umrisskreis",79
"Punkte in gleichen Abständen von einem Kreuz vs Punkte in verschiedenen Abständen von einem Kreuz",80
"Dunkle Figuren können von Umrissfiguren durch eine gerade Linie getrennt werden vs konvexe Hüllen der ausgefüllten und umrissenen Figuren überlappen",81
"Die konvexe Hülle der Kreuze bildet ein gleichseitiges Dreieck vs die konvexe Hülle der Kreuze bildet kein gleichseitiges Dreieck",82
"Ein Kreis ist innerhalb einer von Kreuzen gebildeten Figur vs ein Kreis ist außerhalb von Kreuzen gebildeten Figuren",83
"Ein Viereck ist außerhalb einer von Kreisen gebildeten Figur vs ein Viereck ist innerhalb einer von Kreisen gebildeten Figur",84
"Drei Teile vs fünf Teile",85
"Drei Teile vs fünf Teile",86
"Vier Teile vs fünf Teile",87
"Drei Teile vs fünf Teile",88
"Drei Teile vs fünf Teile",89
"Drei Teile vs vier Teile",90
"Drei identische Elemente vs vier identische Elemente",91
"Die Kette verzweigt sich nicht vs die Kette verzweigt sich",92
"Äste am umrissenen Kreis vs Äste am soliden dunklen Kreis",93
"Solider dunkler Kreis nicht am Ende vs solider dunkler Kreis am Ende",94
"Vertikale schraffierte Linien vs horizontale schraffierte Linien",95
"Dreiecke vs Vierecke",96
"Dreiecke vs Kreise",97
"Dreiecke vs Vierecke",98
"Von Dreiecken und Kreisen gebildete Umrisse schneiden sich vs von Dreiecken und Kreisen gebildete Umrisse schneiden sich nicht",99
"Der Buchstabe A vs der Buchstabe Б",100
"Grande vs pequeño",2
"Contorno hueco vs relleno sólido",3
"Convexo vs cóncavo",4
"Es polígono vs es suave sin líneas rectas ni esquinas",5
"Triángulo vs cuadrilátero",6
"Más alto que ancho vs más ancho que alto",7
"Posicionado a la derecha vs posicionado a la izquierda",8
"Contorno no ondulado vs contorno ondulado",9
"Contorno aproximadamente triangular vs contorno aproximadamente cuadrilátero convexo",10
"Delgado y alargado vs compacto",11
"Envolvente convexa delgada alargada vs envolvente convexa compacta",12
"Rectángulo alto O elipse ancha vs rectángulo ancho O elipse alta",13
"Todas las figuras individuales grandes vs todas las figuras individuales pequeñas",14
"Contorno de forma cerrada vs curva no cerrada",15
"Curva espiral en sentido horario vs curva espiral en sentido antihorario",16
"Forma con esquina refleja vs forma sin esquina refleja",17
"Forma 'pellizcada' (drásticamente más delgada en algún lugar del medio que en los extremos) vs forma no pellizcada",18
"Pellizco horizontal vs pellizco vertical",19
"Ambos puntos tocando el mismo bulto vs puntos en bultos opuestos",20
"Forma pequeña presente vs todas las formas grandes",21
"Todas las formas aproximadamente del mismo tamaño vs formas de diferente tamaño",22
"Una vs dos figuras",23
"Un círculo vs ningún círculo",24
"La figura negra es un triángulo vs la figura negra es un círculo",25
"Triángulo negro sólido vs ningún triángulo negro sólido",26
"Más figuras negras sólidas vs más figuras de contorno",27
"Más círculos negros sólidos vs más círculos de contorno",28
"Hay más círculos pequeños dentro del contorno de la figura que fuera vs hay menos círculos pequeños dentro del contorno de la figura que fuera",29
"Una curva con una auto-intersección vs una curva sin auto-intersección",30
"Una línea vs dos líneas",31
"Una proyección puntiaguda vs ninguna proyección puntiaguda",32
"Ángulo agudo vs ningún ángulo agudo",33
"Un agujero grande vs un agujero pequeño",34
"El eje del agujero es paralelo al eje de la figura vs el eje del agujero es perpendicular al eje de la figura",35
"Triángulo encima del círculo vs círculo encima del triángulo",36
"Triángulo encima del círculo vs círculo encima del triángulo",37
"Triángulo más grande que el círculo vs triángulo más pequeño que el círculo",38
"Segmentos aproximadamente paralelos entre sí vs grandes ángulos entre segmentos",39
"Tres puntos en una línea recta vs ningún tres puntos en una línea recta",40
"Círculos de contorno en una línea recta vs círculos de contorno no en una línea recta",41
"Puntos dentro del contorno de la figura están en una línea recta vs puntos dentro del contorno de la figura no están en una línea recta",42
"La amplitud de vibración aumenta de izquierda a derecha vs la amplitud de vibración disminuye de izquierda a derecha",43
"Círculos pequeños en diferentes arcos vs círculos pequeños en un arco",44
"Figura de contorno encima de figura negra sólida vs figura negra encima de figura de contorno",45
"Triángulo encima del círculo vs círculo encima del triángulo",46
"Triángulo dentro del círculo vs círculo dentro del triángulo",47
"Figuras oscuras sólidas encima de las figuras de contorno vs figuras de contorno encima de las figuras oscuras sólidas",48
"Puntos dentro del contorno de la figura están agrupados más densamente que fuera del contorno vs puntos fuera del contorno de la figura están agrupados más densamente que dentro del contorno",49
"Eje vertical de simetría vs ningún eje de simetría",50
"Dos círculos cerca uno del otro vs ningún dos círculos cerca uno del otro",51
"Flechas apuntando en diferentes direcciones vs flechas apuntando en la misma dirección",52
"La figura interior tiene menos ángulos que la figura exterior vs la figura interior tiene más ángulos que la figura exterior",53
"Una cruz, círculo y triángulo dispuestos en sentido antihorario vs una cruz, círculo y triángulo dispuestos en sentido horario",54
"Un círculo está a la izquierda de la cavidad si miras desde dentro de la figura vs un círculo está a la derecha de la cavidad si miras desde dentro de la figura",55
"Todas las figuras del mismo color vs figuras de diferentes colores",56
"Figuras idénticas vs figuras no idénticas",57
"Los cuadriláteros oscuros sólidos son idénticos vs los cuadriláteros oscuros sólidos son diferentes",58
"Las figuras son similares vs las figuras no son similares",59
"Algunas figuras similares vs ninguna figura similar",60
"Una línea separa las cruces por la mitad vs una línea no separa las cruces por la mitad",61
"Los extremos de la curva están muy separados vs los extremos de la curva están muy juntos",62
"Sombreado más grueso en el lado derecho vs sombreado más grueso en el lado izquierdo",63
"Una cruz está ubicada en la extensión del eje de la elipse vs un círculo está ubicado en la extensión del eje de la elipse",64
"Un conjunto de triángulos alargados horizontalmente vs un conjunto de triángulos alargados verticalmente",65
"Círculos no conectados en una línea horizontal vs círculos no conectados en una línea vertical",66
"La rama derecha comienza en un punto más alto que la rama izquierda vs la rama derecha comienza en un punto más bajo que la rama izquierda",67
"El final de la rama derecha está más alto que el de la rama izquierda vs el final de la rama derecha está más bajo que el de la rama izquierda",68
"Punto negro grande en la rama principal vs punto negro grande en una rama lateral",69
"No hay ramas laterales de segundo orden vs hay ramas laterales de segundo orden",70
"Hay figuras interiores de segundo orden vs no hay figuras interiores de segundo orden",71
"Los extremos de la curva son paralelos vs los extremos de la curva son perpendiculares",72
"Los ejes largos de la elipse y el rectángulo son perpendiculares vs los ejes largos de la elipse y el rectángulo son paralelos",73
"Una cola crece desde el extremo obtuso vs una cola crece desde el extremo agudo",74
"Triángulo ubicado en el lado cóncavo de un arco vs triángulo ubicado en el lado convexo de un arco",75
"Lados largos cóncavos vs lados largos convexos",76
"Ángulo dividido por la mitad vs ángulo no dividido por la mitad",77
"Las extensiones de los segmentos se cruzan en un punto vs las extensiones de los segmentos no se cruzan en un punto",78
"Un círculo oscuro está más cerca del círculo de contorno que del triángulo vs un círculo oscuro está más cerca del triángulo que del círculo de contorno",79
"Puntos ubicados a las mismas distancias de una cruz vs puntos ubicados a diferentes distancias de una cruz",80
"Las figuras oscuras pueden separarse de las figuras de contorno por una línea recta vs las envolventes convexas de las figuras rellenas y de contorno se superponen",81
"La envolvente convexa de las cruces forma un triángulo equilátero vs la envolvente convexa de las cruces no forma un triángulo equilátero",82
"Un círculo está dentro de una figura hecha por cruces vs un círculo está fuera de figuras hechas por cruces",83
"Un cuadrilátero está fuera de una figura hecha por círculos vs un cuadrilátero está dentro de una figura hecha por círculos",84
"Tres partes vs cinco partes",85
"Tres partes vs cinco partes",86
"Cuatro partes vs cinco partes",87
"Tres partes vs cinco partes",88
"Tres partes vs cinco partes",89
"Tres partes vs cuatro partes",90
"Tres elementos idénticos vs cuatro elementos idénticos",91
"La cadena no se ramifica vs la cadena se ramifica",92
"Ramas en círculo de contorno vs ramas en círculo oscuro sólido",93
"Círculo oscuro sólido no al final vs círculo oscuro sólido al final",94
"Líneas rayadas verticales vs líneas rayadas horizontales",95
"Triángulos vs cuadriláteros",96
"Triángulos vs círculos",97
"Triángulos vs cuadriláteros",98
"Los contornos hechos por triángulos y círculos se intersectan vs los contornos hechos por triángulos y círculos no se intersectan",99
"La letra A vs la letra Б",100
"Grande vs pequeno",2
"Contorno oco vs preenchido sólido",3
"Convexo vs côncavo",4
"É polígono vs é suave sem linhas retas ou cantos",5
"Triângulo vs quadrilátero",6
"Mais alto que largo vs mais largo que alto",7
"Posicionado à direita vs posicionado à esquerda",8
"Contorno não ondulado vs contorno ondulado",9
"Contorno aproximadamente triangular vs contorno aproximadamente quadrilateral convexo",10
"Fino e alongado vs compacto",11
"Envoltória convexa fina alongada vs envoltória convexa compacta",12
"Retângulo alto OU elipse larga vs retângulo largo OU elipse alta",13
"Todas as figuras individuais grandes vs todas as figuras individuais pequenas",14
"Contorno de forma fechada vs curva não fechada",15
"Curva espiral no sentido horário vs curva espiral no sentido anti-horário",16
"Forma com canto reflexo vs forma sem canto reflexo",17
"Forma 'pinçada' (drasticamente mais fina em algum lugar no meio do que nas extremidades) vs forma não pinçada",18
"Pinça horizontal vs pinça vertical",19
"Ambos os pontos tocando o mesmo bulbo vs pontos em bulbos opostos",20
"Forma pequena presente vs todas as formas grandes",21
"Todas as formas aproximadamente do mesmo tamanho vs formas de tamanho diferente",22
"Uma vs duas figuras",23
"Um círculo vs nenhum círculo",24
"A figura preta é um triângulo vs a figura preta é um círculo",25
"Triângulo preto sólido vs nenhum triângulo preto sólido",26
"Mais figuras pretas sólidas vs mais figuras de contorno",27
"Mais círculos pretos sólidos vs mais círculos de contorno",28
"Há mais círculos pequenos dentro do contorno da figura do que fora vs há menos círculos pequenos dentro do contorno da figura do que fora",29
"Uma curva com uma auto-intersecção vs uma curva sem auto-intersecção",30
"Uma linha vs duas linhas",31
"Uma projeção pontiaguda vs nenhuma projeção pontiaguda",32
"Ângulo agudo vs nenhum ângulo agudo",33
"Um buraco grande vs um buraco pequeno",34
"O eixo do buraco é paralelo ao eixo da figura vs o eixo do buraco é perpendicular ao eixo da figura",35
"Triângulo acima do círculo vs círculo acima do triângulo",36
"Triângulo acima do círculo vs círculo acima do triângulo",37
"Triângulo maior que o círculo vs triângulo menor que o círculo",38
"Segmentos aproximadamente paralelos entre si vs grandes ângulos entre segmentos",39
"Três pontos em uma linha reta vs nenhum três pontos em uma linha reta",40
"Círculos de contorno em uma linha reta vs círculos de contorno não em uma linha reta",41
"Pontos dentro do contorno da figura estão em uma linha reta vs pontos dentro do contorno da figura não estão em uma linha reta",42
