bp_number,text_input,concept_type,left_image,right_image,comment
35,"LEFT(MORESIMILAR(FIGURES,GET(FIGURES,HOLES),ORIENTATION))","spatial_relationship",FAILED,FAILED,"Both generate a shape with a hole, but no real clear direction of the orientation"
36,"LEFT(GREATERALL(TRIANGLES,CIRCLES,YPOS))","spatial_relationship",CLEAR,CLEAR,
37,"LEFT(GREATERALL(TRIANGLES,CIRCLES,YPOS))","spatial_relationship",CLEAR,CLEAR,"Both sides generate shapes that comply with the concept"
38,"RIGHT(GREATERALL(CIRCLES,TRIANGLES,SIZE))","size",PARTIAL,CLEAR,"Left side has a small circle"
39,"LEFT(MORESIMILAR(LINES,ORIENTATION))","spatial_relationship",FAILED,PARTIAL,"The right does have many lines lines with the opposite orientation, not perfect but some resemblence of the concept"
40,"LEFT(EXISTS(ALIGNED(CIRCLES)))","spatial_relationship",PARTIAL,FAILED,"Left side does have three points on a straight line, but it does have many points. The right side just has so many points in a straight line"
41,"LEFT(EXISTS(ALIGNED(CIRCLES)))","spatial_relationship",FAILED,FAILED,
42,"LEFT(EXISTS(ALIGNED(INSIDE(FIGURES))))","spatial_relationship",CLEAR,FAILED,"Left side has aligned circles inside the shape, the right side has no inside object"
43,"LEFT(EXISTS(SIZE(DECREASING(MOVING(FIGURES,WEST)))))","size",CLEAR,CLEAR
45,"LEFT(EXISTS(ON(OUTLINE(FIGURES),SOLID(FIGURES))))","spatial_relationship",FAILED,FAILED,"hard to make out anything from the generated images"
46,"LEFT(EXISTS(ON(TRIANGLES,CIRCLES)))","spatial_relationship",FAILED,CLEAR,
47,"LEFT(EXISTS(INSIDE(TRIANGLES)))","spatial_relationship",FAILED,CLEAR,"A circle is trapped inside of a triangle on the right side"
48,"LEFT(LESSERALL(OUTLINE(FIGURES),SOLID(FIGURES),YPOS))","spatial_relationship",CLEAR,CLEAR,
49,"LEFT(GREATERALL(CIRCLES,INSIDE(CIRCLES),DISTANCE))","spatial_relationship",CLEAR,FAILED,
50,"LEFT(EXISTS(SYMMETRY(FIGURES,VERTICAL)))","shape_geometry",FAILED,FAILED,"Both images are on the verge of symmetry and no symmetry, hard to say, think its better to leave as FAILED"
51,"LEFT(EXISTS(LOW(CIRCLES,DISTANCE)))","spatial_relationship",FAILED,FAILED,
53,"LEFT(GREATERALL(FIGURES,INSIDE(FIGURES),NCORNERS))","numerosity",CLEAR,CLEAR,
56,"LEFT(OR(EXISTS(OUTLINE(FIGURES)),EXISTS(SOLID(FIGURES))))","visual_properties",CLEAR,CLEAR,
57,"LEFT(EXISTS(IDENTICAL(FIGURES)))","visual_properties",FAILED,FAILED,
58,"RIGHT(EXISTS(DIFFERENT(SOLID(RECTANGLES),SIZE))","visual_properties",FAILED,PARTIAL,"on the right, there are two solid quadrilateral of different size, but also a third that share the same size, so conflicting concepts represented here"
59,"RIGHT(LESSSIMILAR(IDENTICAL(FIGURES)))","visual_properties",CLEAR,PARTIAL,"The left has two shapes with similar size, whereas on the right, three shapes exist, two similar size, but all three together do not, so it is a PARTIAL"
60,"RIGHT(LESSSIMILAR(IDENTICAL(FIGURES)))","visual_properties",PARTIAL,PARTIAL,"Both are partially correct, just could do with less noise to be confident in the shapes"
62,"LEFT(EXISTS(HIGH(GET(LINES,END),DISTANCE)))","spatial_relationship",FAILED,FAILED,"No distinct ends exist in both images"
63,"RIGHT(EXISTS(BIG(FIGURES,WEST,HULL)))","size",CLEAR,CLEAR,
65,"LEFT(EXISTS(ALIGNED(TRIANGLES,HORIZONTAL)))","spatial_relationship",CLEAR,PARTIAL,"Right side is a bit noisy, but some triangles are vertical"
66,"RIGHT(EXISTS(ALIGNED(CRICLES,VERTICAL)))","spatial_relationship",FAILED,FAILED,"Too much noise generated to tell anything apart"
71,"LEFT(EXISTS(INSIDE(INSIDE(FIGURES))))","spatial_relationship",FAILED,FAILED,
72,"LEFT(EXISTS(IDENTICAL(GET(LINES,END),ORIENTATION)))","shape_geometry",FAILED,FAILED,
73,"LEFT(EXISTS(DIFFERENT(CIRCLES,QUADRILATERALS,ORIENTATION))","spatial_relationship",FAILED,FAILED,"Outputs are too noisy to tell any concept"
76,"RIGHT(GREATER(FIGURES,CONCAVITY))","shape_geometry",FAILED,FAILED,
77,"LEFT(EXISTS(IDENTICAL(GET(FIGURES,END),DISTANCE)))","shape_geometry",FAILED,FAILED,
79,"LEFT(AND(EXISTS(LOW(CIRCLES,SOLID(CIRCLES),DISTANCE)),EXISTS(HIGH(CIRCLES,TRIANGLES,DISTANCE)))))","spatial_relationship",CLEAR,FAILED,"The black circle is closer to the outline circle on the left"
80,"LEFT(EXISTS(IDENTICAL(STARS,CIRCLES,DISTANCE)))","spatial_relationship",FAILED,FAILED,
82,"LEFT(EXISTS(COMPOSED(TRIANGLES)))","spatial_relationship",FAILED,CLEAR,"The crosses on the right do not make an equilateral triangle, it seems for specific spatial_relation, the non-existence of the right image is usually a pass"
83,"LEFT(EXISTS(INSIDE(COMPOSED(FIGURES),CIRCLES))","spatial_relationship",CLEAR,CLEAR,
84,"RIGHT(EXISTS(INSIDE(COMPOSED(FIGURES),QUADRILATERALS))","spatial_relationship",CLEAR,FAILED,"No square exists on the right, but the outline is very clear"
85,"LEFT(OR(EXACLTY(3,GET(FIGURES,NSIDES)),EXACTLY(3,LINES)))","numerosity",FAILED,FAILED,"Generated noisy outputs"
87,"LEFT(OR(EXACLTY(5,GET(FIGURES,NSIDES)),EXACTLY(5,LINES)))","numerosity",FAILED,FAILED,"Generated noisy outputs"
88,"RIGHT(EXACTLY(5,CIRCLES)))","numerosity",FAILED,FAILED,"The same images as BP23 were generated, which is completely wrong"
89,"RIGHT(EXACTLY(5,COMPOSED(CIRCLES))))","numerosity",FAILED,PARTIAL,"five distinct circle groups on the right, but two groups are connected by noise, so leaving as PARTIAL"
90,"LEFT(EXACTLY(3,COMPOSED(OUTLINE(CIRCLES)))))","numerosity",PARTIAL,FAILED,"The left image has three distinct groups, but two of the groups are connected by a faint piece of noise, so leaving as PARTIAL"
92,"LEFT(EXACLTY(1,COMPOSED(LINES)))","shape_geometry",CLEAR,CLEAR,
99,"LEFT(ON(COMPOSED(CIRCLES),COMPOSED(TRIANGLES)))","spatial_relationship",FAILED,PARTIAL,"The left has noisy outputs so its hard to tell anything in terms of concept understanding, on the right, there are two distinct lines which don't intersect, but these lines are not distinct of triangles or circles"
